Node_ID,Node_Name,Degree,Community,Betweenness_Centrality
42202,Herbie Fully Loaded,120,1,8787779.120930832
12316,Lethal Weapon 4,119,9,9336257.44406585
52923,Predator 2,119,9,8980485.39457323
72801,Dickie Roberts: Former Child Star,119,5,11232168.779296314
71884,Ed Wood,119,9,9216809.907157721
77801,Downfall,119,31,11966534.866897874
70250,Dances with Wolves,119,9,9625107.625654016
27254,Looney Tunes: Back in Action,119,14,9729750.14866698
105012,Seven Samurai,119,45,12170556.194313334
29874,Dr. Dolittle 2,119,19,9293029.022539085
59700,We Own the Night,119,15,8106951.239205225
29104,Spanglish,119,1,8042631.067661334
56261,District 9,119,0,7422363.230976202
69363,Little Boy,118,23,10233963.178067846
54324,The Maze Runner,118,21,7682761.803004014
57222,Step Up 3D,118,42,9903353.211602656
47876,The Talented Mr. Ripley,118,35,10326702.634074735
66342,Silver Linings Playbook,118,11,12888290.262391642
25531,Mission: Impossible,118,2,12469491.639240218
52724,The Pianist,118,31,9635701.770449672
29931,Braveheart,118,2,10627049.173251778
30552,Die Hard 2,117,9,10465553.781960301
17710,Speed 2: Cruise Control,117,9,8389151.267581688
14988,Batman & Robin,117,1,7709113.514483364
61954,Bridget Jones's Diary,117,2,7846015.593611066
42954,Out of Time,117,19,7880685.594187174
28255,The Lost World: Jurassic Park,117,1,10133218.403690355
81457,Brooklyn,116,2,8846625.391219966
64739,The Ides of March,116,1,8980028.313112404
24473,Last Action Hero,116,9,10386150.960917233
43932,Drive Angry,116,21,9990095.437380377
48803,The Skeleton Key,116,1,8244567.693406942
62576,Jeepers Creepers 2,116,46,7752949.436445689
39077,The Equalizer,116,11,7874616.076168615
46049,Argo,116,1,10533338.197094498
87931,Beyond the Lights,116,19,8675172.283323424
60786,Kindergarten Cop,115,9,9802481.614611521
80108,Crank,115,25,8456873.067462673
40635,Moulin Rouge!,115,24,10338744.019972146
58960,Aladdin,115,14,7480404.860433079
64790,Pitch Black,115,24,9598018.505630853
74813,Diary of a Wimpy Kid,115,17,7486129.128798486
24362,Divergent,115,21,7801372.591622669
64649,The Empire Strikes Back,114,20,8452427.886601169
56635,Without a Paddle,114,0,8607569.063748645
37312,Mercury Rising,114,9,11611026.760922197
36702,Alien: Resurrection,114,9,10194733.400270663
21551,Jurassic Park III,114,1,7254227.305751544
30626,S.W.A.T.,114,1,8053708.179935365
41901,Moneyball,114,1,8860422.891719578
34921,Meet the Fockers,114,1,7804201.032074623
91093,Race,114,22,8443038.337973189
41231,"Me, Myself & Irene",114,6,6885433.170381558
32550,The Finest Hours,113,11,7310303.454962793
77580,Mr. Turner,113,2,6063799.94146065
67785,Ghost Ship,113,24,9140017.825190872
79859,The Fault in Our Stars,113,25,8320590.89950515
37232,The Relic,113,9,7218651.078408285
31746,Rollerball,113,3,8776282.991457524
27421,The Last Witch Hunter,112,25,8359636.121516958
42728,The Peacemaker,112,1,8753763.720312808
20396,The Expendables 3,112,21,7927759.732299675
89273,The Wrestler,112,15,7830433.36543556
53976,Punisher: War Zone,112,22,8070790.681260078
48592,Apocalypto,112,33,9327364.83251585
95487,The Man Who Shot Liberty Valance,112,28,11246716.437231435
23722,Cinderella Man,112,3,9780974.200336313
46482,Along Came Polly,112,1,8338471.075019579
95204,Whiplash,112,26,8568298.554077836
32801,Need for Speed,111,7,9129833.894765228
35797,Ladder 49,111,18,9007833.637996694
42395,13 Hours: The Secret Soldiers of Benghazi,111,8,10712274.053475918
52473,Old Dogs,111,15,9852703.908665325
36817,The Lego Movie,111,14,9749526.558641963
31947,Sky Captain and the World of Tomorrow,111,14,7866500.83428521
70625,The Crazies,111,25,7806909.924122208
47077,8 Mile,110,1,7585983.90167094
83170,Wrong Turn,110,3,6893270.011259858
55890,Toy Story,110,14,6486264.379766357
38797,Superman,110,20,10717472.185411258
101258,Snow White and the Seven Dwarfs,110,28,9417175.069149133
75770,Boogie Nights,110,12,9212724.46270612
29214,Bandits,110,1,7659827.048867622
82065,Good Will Hunting,110,3,12251115.740356393
68495,The Country Bears,110,1,7403195.695876046
64047,The Bad Lieutenant: Port of Call - New Orleans,110,21,8659901.399152601
73424,Wall Street,110,9,8585614.167144394
54040,The Walk,110,22,8351068.744055722
26218,Cold Mountain,110,2,11337674.126106033
74727,The Imitation Game,110,2,8774145.573086858
12173,Gods of Egypt,109,24,8624049.402549047
34305,Sin City: A Dame to Kill For,109,10,11007739.249280803
34967,Marley & Me,109,15,7496854.976350831
75596,28 Weeks Later,109,2,8695119.416051725
24551,The Fast and the Furious: Tokyo Drift,109,25,11927881.589265354
29153,Monster House,109,1,7758290.193403508
27161,Daylight,108,20,7687314.152732208
87852,House of 1000 Corpses,108,10,7588678.921652032
30464,Inglourious Basterds,108,31,14569347.500534724
26556,Fury,108,2,10227916.748882934
51204,The 5th Wave,108,21,7518944.96571959
49591,Colombiana,108,30,8694568.954078496
18301,The Princess and the Frog,108,14,6440184.48568863
52562,Resident Evil,108,31,8478199.75487989
52832,House of Wax,108,24,7413404.941748162
40508,Superman II,108,20,9012725.567632647
41536,Erin Brockovich,108,1,6071612.250235422
70508,House on Haunted Hill,107,9,7354842.053688547
47140,A Knight's Tale,107,2,8497236.177788498
35648,Any Given Sunday,107,9,10540425.189307427
21504,Transcendence,107,7,8074598.668098201
82284,Madea's Family Reunion,106,19,7554478.240363396
55315,Bringing Out the Dead,106,15,8683281.92073176
65324,The Animal,106,5,6633759.638318499
55716,Frequency,106,3,7867878.401107213
62368,Scarface,106,9,10731361.078163713
